                        * ELE339 BJT Modeling IC vs. IB
             DC transfer characteristic  Thu Jun 29 22:13:46  2023
--------------------------------------------------------------------------------
Index     sweep         v(1)          v(3)          v(99)         vc#branch   
260       2.60000e+00   6.74321e-01   2.60000e+00   2.60000e+00   1.41774e-03 
261       2.61000e+00   6.74321e-01   2.61000e+00   2.61000e+00   1.41793e-03 
262       2.62000e+00   6.74321e-01   2.62000e+00   2.62000e+00   1.41811e-03 
263       2.63000e+00   6.74321e-01   2.63000e+00   2.63000e+00   1.41830e-03 
264       2.64000e+00   6.74321e-01   2.64000e+00   2.64000e+00   1.41849e-03 
265       2.65000e+00   6.74321e-01   2.65000e+00   2.65000e+00   1.41867e-03 
266       2.66000e+00   6.74321e-01   2.66000e+00   2.66000e+00   1.41886e-03 
267       2.67000e+00   6.74321e-01   2.67000e+00   2.67000e+00   1.41905e-03 
268       2.68000e+00   6.74321e-01   2.68000e+00   2.68000e+00   1.41923e-03 
269       2.69000e+00   6.74321e-01   2.69000e+00   2.69000e+00   1.41942e-03 
270       2.70000e+00   6.74321e-01   2.70000e+00   2.70000e+00   1.41961e-03 
271       2.71000e+00   6.74321e-01   2.71000e+00   2.71000e+00   1.41979e-03 
272       2.72000e+00   6.74321e-01   2.72000e+00   2.72000e+00   1.41998e-03 
273       2.73000e+00   6.74321e-01   2.73000e+00   2.73000e+00   1.42017e-03 
274       2.74000e+00   6.74321e-01   2.74000e+00   2.74000e+00   1.42035e-03 
275       2.75000e+00   6.74321e-01   2.75000e+00   2.75000e+00   1.42054e-03 
276       2.76000e+00   6.74321e-01   2.76000e+00   2.76000e+00   1.42073e-03 

Index     sweep         v(1)          v(3)          v(99)         vc#branch   
--------------------------------------------------------------------------------
277       2.77000e+00   6.74321e-01   2.77000e+00   2.77000e+00   1.42091e-03 
278       2.78000e+00   6.74321e-01   2.78000e+00   2.78000e+00   1.42110e-03 
279       2.79000e+00   6.74321e-01   2.79000e+00   2.79000e+00   1.42129e-03 
280       2.80000e+00   6.74321e-01   2.80000e+00   2.80000e+00   1.42147e-03 
281       2.81000e+00   6.74321e-01   2.81000e+00   2.81000e+00   1.42166e-03 
282       2.82000e+00   6.74321e-01   2.82000e+00   2.82000e+00   1.42185e-03 
283       2.83000e+00   6.74321e-01   2.83000e+00   2.83000e+00   1.42203e-03 
284       2.84000e+00   6.74321e-01   2.84000e+00   2.84000e+00   1.42222e-03 
285       2.85000e+00   6.74321e-01   2.85000e+00   2.85000e+00   1.42241e-03 
286       2.86000e+00   6.74321e-01   2.86000e+00   2.86000e+00   1.42259e-03 
287       2.87000e+00   6.74321e-01   2.87000e+00   2.87000e+00   1.42278e-03 
